ORDERNUMBER,QUANTITYORDERED,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE,Customer Value,Customer PO Freq.,Customer Frequency,CLTV
10304,47,6,10172.7,2004-10-11,Shipped,4,10,2004,Cars,S10_1949,Auto Assoc. & Cie.,Versailles,France,EMEA,Large,Low-value,2,Low-freq.,8229.0
10312,48,3,11623.7,2004-10-21,Shipped,4,10,2004,Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,North America,Large,High-value,17,High-freq.,83187.0
10322,40,1,6000.4,2004-11-04,Shipped,4,11,2004,Cars,S10_1949,Online Diecast Creations Co.,Nashua,USA,North America,Medium,High-value,3,Low-freq.,16692.0
10333,26,3,3003.0,2004-11-18,Shipped,4,11,2004,Cars,S10_1949,Mini Wheels Co.,San Francisco,USA,North America,Medium,Low-value,3,Low-freq.,9438.0
10347,30,1,3944.7,2004-11-29,Shipped,4,11,2004,Cars,S10_1949,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,High-value,5,Low-freq.,25506.0
10357,32,10,5691.84,2004-12-10,Shipped,4,12,2004,Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,North America,Medium,High-value,17,High-freq.,83187.0
10369,41,2,4514.92,2005-01-20,Shipped,1,1,2005,Cars,S10_1949,Collectables For Less Inc.,Brickhaven,USA,North America,Medium,Low-value,3,Low-freq.,10335.0
10381,36,3,8254.8,2005-02-17,Shipped,1,2,2005,Cars,S10_1949,Corporate Gift Ideas Co.,San Francisco,USA,North America,Large,High-value,4,Low-freq.,19032.0
10391,24,4,2416.56,2005-03-09,Shipped,1,3,2005,Cars,S10_1949,"Anna's Decorations, Ltd",North Sydney,Australia,APAC,Small,High-value,4,Low-freq.,19539.0
10411,23,9,4140.23,2005-05-01,Shipped,2,5,2005,Cars,S10_1949,Quebec Home Shopping Network,Montreal,Canada,North America,Medium,Low-value,3,Low-freq.,9399.0
10424,50,6,12001.0,2005-05-31,In Process,2,5,2005,Cars,S10_1949,Euro Shopping Channel,Madrid,Spain,EMEA,Large,High-value,26,High-freq.,115869.0
10107,39,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,S10_2016,Land of Toys Inc.,NYC,USA,North America,Medium,High-value,4,Low-freq.,20826.0
10120,29,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,APAC,Small,High-value,5,Low-freq.,25506.0
10134,27,5,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,S10_2016,Lyon Souveniers,Paris,France,EMEA,Medium,Low-value,3,Low-freq.,9945.0
10145,37,9,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,S10_2016,Toys4GrownUps.com,Pasadena,USA,North America,Medium,High-value,3,Low-freq.,13260.0
10159,37,17,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,S10_2016,Corporate Gift Ideas Co.,San Francisco,USA,North America,Medium,High-value,4,Low-freq.,19032.0
10168,27,4,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,S10_2016,Technics Stores Inc.,Burlingame,USA,North America,Medium,High-value,4,Low-freq.,15327.0
10180,42,12,4695.6,2003-11-11,Shipped,4,11,2003,Motorcycles,S10_2016,Daedalus Designs Imports,Lille,France,EMEA,Medium,Low-value,2,Low-freq.,8736.0
10188,38,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,S10_2016,Herkku Gifts,Bergen,Norway,EMEA,Medium,High-value,3,Low-freq.,14157.0
10201,24,5,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,S10_2016,Mini Wheels Co.,San Francisco,USA,North America,Medium,Low-value,3,Low-freq.,9438.0
10210,23,2,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,S10_2016,Osaka Souveniers Co.,Osaka,Japan,APAC,Medium,Low-value,2,Low-freq.,8580.0
10223,47,4,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,High-value,5,Low-freq.,25506.0
10236,22,1,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,S10_2016,Motor Mint Distributors Inc.,Philadelphia,USA,North America,Small,Low-value,3,Low-freq.,10608.0
10251,44,5,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,S10_2016,Tekni Collectables Inc.,Newark,USA,North America,Medium,Low-value,3,Low-freq.,10569.0
10263,40,5,4472.0,2004-06-28,Shipped,2,6,2004,Motorcycles,S10_2016,Gift Depot Inc.,Bridgewater,USA,North America,Medium,High-value,3,Low-freq.,12909.0
10275,22,4,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,S10_2016,La Rochelle Gifts,Nantes,France,EMEA,Small,High-value,4,Low-freq.,22854.0
10285,47,9,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,S10_2016,Marta's Replicas Co.,Cambridge,USA,North America,Medium,High-value,2,Low-freq.,13065.0
10298,39,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,S10_2016,Atelier graphique,Nantes,France,EMEA,Medium,Low-value,3,Low-freq.,3042.0
10308,34,2,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,S10_2016,Mini Classics,White Plains,USA,North America,Medium,Low-value,2,Low-freq.,10842.0
10318,45,4,5566.5,2004-11-02,Shipped,4,11,2004,Motorcycles,S10_2016,Diecast Classics Inc.,Allentown,USA,North America,Medium,High-value,4,Low-freq.,15483.0
10329,20,2,3176.0,2004-11-15,Shipped,4,11,2004,Motorcycles,S10_2016,Land of Toys Inc.,NYC,USA,North America,Medium,High-value,4,Low-freq.,20826.0
10339,40,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Japan,APAC,Small,High-value,4,Low-freq.,15288.0
10361,26,8,1329.9,2004-12-17,Shipped,4,12,2004,Motorcycles,S10_2016,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,High-value,4,Low-freq.,19227.0
10374,39,5,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,S10_2016,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,Low-value,3,Low-freq.,7527.0
10388,50,5,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,S10_2016,FunGiftIdeas.com,New Bedford,USA,North America,Small,Low-value,3,Low-freq.,12558.0
10402,45,1,5833.8,2005-04-07,Shipped,2,4,2005,Motorcycles,S10_2016,Auto Canal Petit,Paris,France,EMEA,Medium,Low-value,3,Low-freq.,11817.0
10417,45,5,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,S10_2016,Euro Shopping Channel,Madrid,Spain,EMEA,Medium,High-value,26,High-freq.,115869.0
10107,27,4,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,S10_4698,Land of Toys Inc.,NYC,USA,North America,Medium,High-value,4,Low-freq.,20826.0
10120,46,2,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,APAC,Large,High-value,5,Low-freq.,25506.0
10134,31,4,7023.98,2003-07-01,Shipped,3,7,2003,Motorcycles,S10_4698,Lyon Souveniers,Paris,France,EMEA,Large,Low-value,3,Low-freq.,9945.0
10145,33,8,5176.38,2003-08-25,Shipped,3,8,2003,Motorcycles,S10_4698,Toys4GrownUps.com,Pasadena,USA,North America,Medium,High-value,3,Low-freq.,13260.0
10159,22,16,4132.7,2003-10-10,Shipped,4,10,2003,Motorcycles,S10_4698,Corporate Gift Ideas Co.,San Francisco,USA,North America,Medium,High-value,4,Low-freq.,19032.0
10168,20,3,4183.0,2003-10-28,Shipped,4,10,2003,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,USA,North America,Medium,High-value,4,Low-freq.,15327.0
10180,41,11,8892.9,2003-11-11,Shipped,4,11,2003,Motorcycles,S10_4698,Daedalus Designs Imports,Lille,France,EMEA,Large,Low-value,2,Low-freq.,8736.0
10188,45,3,8714.7,2003-11-18,Shipped,4,11,2003,Motorcycles,S10_4698,Herkku Gifts,Bergen,Norway,EMEA,Large,High-value,3,Low-freq.,14157.0
10201,49,4,8065.89,2003-12-01,Shipped,4,12,2003,Motorcycles,S10_4698,Mini Wheels Co.,San Francisco,USA,North America,Large,Low-value,3,Low-freq.,9438.0
10210,34,1,6123.4,2004-01-12,Shipped,1,1,2004,Motorcycles,S10_4698,Osaka Souveniers Co.,Osaka,Japan,APAC,Medium,Low-value,2,Low-freq.,8580.0
10223,49,3,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,APAC,Large,High-value,5,Low-freq.,25506.0
10237,39,9,7023.9,2004-04-05,Shipped,2,4,2004,Motorcycles,S10_4698,Vitachrome Inc.,NYC,USA,North America,Large,Low-value,3,Low-freq.,11154.0
10251,43,4,7078.23,2004-05-18,Shipped,2,5,2004,Motorcycles,S10_4698,Tekni Collectables Inc.,Newark,USA,North America,Large,Low-value,3,Low-freq.,10569.0
10263,41,4,8336.94,2004-06-28,Shipped,2,6,2004,Motorcycles,S10_4698,Gift Depot Inc.,Bridgewater,USA,North America,Large,High-value,3,Low-freq.,12909.0
10275,36,3,6901.92,2004-07-23,Shipped,3,7,2004,Motorcycles,S10_4698,La Rochelle Gifts,Nantes,France,EMEA,Medium,High-value,4,Low-freq.,22854.0
10285,27,8,5438.07,2004-08-27,Shipped,3,8,2004,Motorcycles,S10_4698,Marta's Replicas Co.,Cambridge,USA,North America,Medium,High-value,2,Low-freq.,13065.0
10299,29,11,6683.34,2004-09-30,Shipped,3,9,2004,Motorcycles,S10_4698,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium,High-value,3,Low-freq.,14118.0
10308,20,1,4570.4,2004-10-15,Shipped,4,10,2004,Motorcycles,S10_4698,Mini Classics,White Plains,USA,North America,Medium,Low-value,2,Low-freq.,10842.0
10318,37,3,7667.14,2004-11-02,Shipped,4,11,2004,Motorcycles,S10_4698,Diecast Classics Inc.,Allentown,USA,North America,Large,High-value,4,Low-freq.,15483.0
10329,26,3,5868.2,2004-11-15,Shipped,4,11,2004,Motorcycles,S10_4698,Land of Toys Inc.,NYC,USA,North America,Medium,High-value,4,Low-freq.,20826.0
10339,39,3,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Japan,APAC,Small,High-value,4,Low-freq.,15288.0
10362,22,4,3664.1,2005-01-05,Shipped,1,1,2005,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,USA,North America,Medium,High-value,4,Low-freq.,15327.0
10374,22,1,3834.38,2005-02-02,Shipped,1,2,2005,Motorcycles,S10_4698,"Australian Gift Network, Co",South Brisbane,Australia,APAC,Medium,Low-value,3,Low-freq.,7527.0
10388,21,7,1822.17,2005-03-03,Shipped,1,3,2005,Motorcycles,S10_4698,FunGiftIdeas.com,New Bedford,USA,North America,Small,Low-value,3,Low-freq.,12558.0
10403,66,9,11886.6,2005-04-08,Shipped,2,4,2005,Motorcycles,S10_4698,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Large,High-value,3,Low-freq.,14976.0
10417,56,4,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,S10_4698,Euro Shopping Channel,Madrid,Spain,EMEA,Large,High-value,26,High-freq.,115869.0
10105,50,2,7208.0,2003-02-11,Shipped,1,2,2003,Cars,S10_4757,Danish Wholesale Imports,Kobenhavn,Denmark,EMEA,Large,High-value,5,Low-freq.,18408.0
10119,46,11,5004.8,2003-04-28,Shipped,2,4,2003,Cars,S10_4757,Salzburg Collectables,Salzburg,Austria,EMEA,Medium,High-value,4,Low-freq.,18993.0
10129,33,2,4398.24,2003-06-12,Shipped,2,6,2003,Cars,S10_4757,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium,Low-value,3,Low-freq.,11271.0
10143,49,15,5597.76,2003-08-10,Shipped,3,8,2003,Cars,S10_4757,Mini Creations Ltd.,New Bedford,USA,North America,Medium,High-value,3,Low-freq.,13806.0
10155,32,13,4526.08,2003-10-06,Shipped,4,10,2003,Cars,S10_4757,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Medium,High-value,3,Low-freq.,14118.0
10167,44,9,5924.16,2003-10-23,Cancelled,4,10,2003,Cars,S10_4757,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,High-value,3,Low-freq.,17043.0
10178,24,12,3492.48,2003-11-08,Shipped,4,11,2003,Cars,S10_4757,Alpha Cognac,Toulouse,France,EMEA,Medium,Low-value,3,Low-freq.,8931.0
10186,26,9,3854.24,2003-11-14,Shipped,4,11,2003,Cars,S10_4757,"Double Decker Gift Stores, Ltd",London,UK,EMEA,Medium,Low-value,2,Low-freq.,4563.0
10197,45,6,5324.4,2003-11-26,Shipped,4,11,2003,Cars,S10_4757,Enaco Distributors,Barcelona,Spain,EMEA,Medium,Low-value,3,Low-freq.,9945.0
10209,39,8,5197.92,2004-01-09,Shipped,1,1,2004,Cars,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,North America,Medium,Low-value,2,Low-freq.,6084.0
10222,49,12,5997.6,2004-02-19,Shipped,1,2,2004,Cars,S10_4757,Collectable Mini Designs Co.,San Diego,USA,North America,Medium,Low-value,2,Low-freq.,11076.0
10248,20,3,2910.4,2004-05-07,Cancelled,2,5,2004,Cars,S10_4757,Land of Toys Inc.,NYC,USA,North America,Small,High-value,4,Low-freq.,20826.0
10261,27,1,3378.24,2004-06-17,Shipped,2,6,2004,Cars,S10_4757,Quebec Home Shopping Network,Montreal,Canada,North America,Medium,Low-value,3,Low-freq.,9399.0
10273,30,4,3508.8,2004-07-21,Shipped,3,7,2004,Cars,S10_4757,Petit Auto,Bruxelles,Belgium,EMEA,Medium,Low-value,3,Low-freq.,9516.0
10283,25,6,2992.0,2004-08-20,Shipped,3,8,2004,Cars,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,North America,Small,Low-value,2,Low-freq.,9477.0
10295,24,1,3427.2,2004-09-10,Shipped,3,9,2004,Cars,S10_4757,Gifts4AllAges.com,Boston,USA,North America,Medium,Low-value,3,Low-freq.,10569.0
10307,22,9,2692.8,2004-10-14,Shipped,4,10,2004,Cars,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,USA,North America,Small,Low-value,2,Low-freq.,8541.0
10316,33,17,4128.96,2004-11-01,Shipped,4,11,2004,Cars,S10_4757,giftsbymail.co.uk,Cowes,UK,EMEA,Medium,Low-value,2,Low-freq.,9906.0
10325,47,6,3051.71,2004-11-05,Shipped,4,11,2004,Cars,S10_4757,Baane Mini Imports,Stavern,Norway,EMEA,Medium,High-value,4,Low-freq.,14781.0
10337,25,8,1201.25,2004-11-21,Shipped,4,11,2004,Cars,S10_4757,Classic Legends Inc.,NYC,USA,North America,Small,Low-value,3,Low-freq.,9867.0
10350,26,5,1962.22,2004-12-02,Shipped,4,12,2004,Cars,S10_4757,Euro Shopping Channel,Madrid,Spain,EMEA,Small,High-value,26,High-freq.,115869.0
10359,48,6,2624.64,2004-12-15,Shipped,4,12,2004,Cars,S10_4757,Reims Collectables,Reims,France,EMEA,Small,High-value,5,Low-freq.,17121.0
10373,39,3,4046.25,2005-01-31,Shipped,1,1,2005,Cars,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,Finland,EMEA,Medium,High-value,3,Low-freq.,13221.0
10384,34,4,4846.7,2005-02-23,Shipped,1,2,2005,Cars,S10_4757,Corporate Gift Ideas Co.,San Francisco,USA,North America,Medium,High-value,4,Low-freq.,19032.0
10395,32,2,3370.56,2005-03-17,Shipped,1,3,2005,Cars,S10_4757,Lyon Souveniers,Paris,France,EMEA,Medium,Low-value,3,Low-freq.,9945.0
10400,64,9,9661.44,2005-04-01,Shipped,2,4,2005,Cars,S10_4757,The Sharp Gifts Warehouse,San Jose,USA,North America,Large,High-value,4,Low-freq.,20319.0
10414,19,3,2764.88,2005-05-06,On Hold,2,5,2005,Cars,S10_4757,Gifts4AllAges.com,Boston,USA,North America,Small,Low-value,3,Low-freq.,10569.0
10103,42,4,5398.26,2003-01-29,Shipped,1,1,2003,Cars,S10_4962,Baane Mini Imports,Stavern,Norway,EMEA,Medium,High-value,4,Low-freq.,14781.0
10114,31,8,4305.28,2003-04-01,Shipped,2,4,2003,Cars,S10_4962,"La Corne D'abondance, Co.",Paris,France,EMEA,Medium,Low-value,3,Low-freq.,12324.0
10126,22,4,3347.74,2003-05-28,Shipped,2,5,2003,Cars,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Medium,High-value,3,Low-freq.,15288.0
10140,26,4,3188.12,2003-07-24,Shipped,3,7,2003,Cars,S10_4962,Technics Stores Inc.,Burlingame,USA,North America,Medium,High-value,4,Low-freq.,15327.0
10150,20,1,3191.2,2003-09-19,Shipped,3,9,2003,Cars,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Singapore,APAC,Medium,High-value,5,Low-freq.,21957.0
10164,21,2,3536.82,2003-10-21,Resolved,4,10,2003,Cars,S10_4962,Mini Auto Werke,Graz,Austria,EMEA,Medium,Low-value,3,Low-freq.,6630.0
10175,33,9,5362.83,2003-11-06,Shipped,4,11,2003,Cars,S10_4962,"Stylish Desk Decors, Co.",London,UK,EMEA,Medium,Low-value,3,Low-freq.,11271.0
10183,28,1,3433.36,2003-11-13,Shipped,4,11,2003,Cars,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,USA,North America,Medium,Low-value,2,Low-freq.,8541.0
10194,26,4,4263.74,2003-11-25,Shipped,4,11,2003,Cars,S10_4962,"Saveley & Henriot, Co.",Lyon,France,EMEA,Medium,High-value,3,Low-freq.,18135.0
10207,31,15,4076.19,2003-12-09,Shipped,4,12,2003,Cars,S10_4962,Diecast Collectables,Boston,USA,North America,Medium,Low-value,2,Low-freq.,8970.0
10217,48,4,7020.48,2004-02-04,Shipped,1,2,2004,Cars,S10_4962,Handji Gifts& Co,Singapore,Singapore,APAC,Large,High-value,4,Low-freq.,14664.0
10229,50,9,6426.5,2004-03-11,Shipped,1,3,2004,Cars,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,North America,Medium,High-value,17,High-freq.,83187.0
10245,28,2,4591.72,2004-05-04,Shipped,2,5,2004,Cars,S10_4962,Super Scale Inc.,New Haven,USA,North America,Medium,Low-value,2,Low-freq.,10062.0
10259,26,12,4033.38,2004-06-15,Shipped,2,6,2004,Cars,S10_4962,Handji Gifts& Co,Singapore,Singapore,APAC,Medium,High-value,4,Low-freq.,14664.0
10270,32,2,4302.08,2004-07-19,Shipped,3,7,2004,Cars,S10_4962,Souveniers And Things Co.,Chatswood,Australia,APAC,Medium,High-value,4,Low-freq.,19227.0
10281,44,9,7020.64,2004-08-19,Shipped,3,8,2004,Cars,S10_4962,Diecast Classics Inc.,Allentown,USA,North America,Large,High-value,4,Low-freq.,15483.0
10291,30,4,3855.9,2004-09-08,Shipped,3,9,2004,Cars,S10_4962,Scandinavian Gift Ideas,Boras,Sweden,EMEA,Medium,High-value,3,Low-freq.,17043.0
10305,38,13,6680.78,2004-10-13,Shipped,4,10,2004,Cars,S10_4962,Marta's Replicas Co.,Cambridge,USA,North America,Medium,High-value,2,Low-freq.,13065.0
10313,40,7,6678.0,2004-10-22,Shipped,4,10,2004,Cars,S10_4962,Canadian Gift Exchange Network,Vancouver,Canada,North America,Medium,Low-value,2,Low-freq.,9555.0
10322,46,8,2851.54,2004-11-04,Shipped,4,11,2004,Cars,S10_4962,Online Diecast Creations Co.,Nashua,USA,North America,Small,High-value,3,Low-freq.,16692.0
